                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0655,                0.41352,                0.95046,                0.99025,                0.99088,                0.99437,                0.70058,                  1.108,                0.37708,                 0.9797,               0.000614,               0.000614,               0.000614
                     37,                  1.068,                0.41502,                 0.9528,                0.99238,                0.99062,                0.99455,                0.70397,                 1.1128,                0.38213,                0.97886,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0474,                0.40932,                0.94912,                0.99053,                0.99137,                0.99456,                0.70417,                 1.1078,                0.37634,                0.97636,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0511,                0.41015,                0.94458,                0.99059,                0.99249,                0.99442,                0.70671,                  1.096,                0.37595,                0.97469,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.0555,                0.40888,                0.94741,                0.98842,                0.99287,                0.99445,                0.70608,                 1.1049,                0.37785,                0.97725,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.0618,                0.39752,                0.97924,                0.99168,                0.98986,                0.99449,                0.70393,                 1.1159,                0.37751,                0.97729,               0.000416,               0.000416,               0.000416
                     42,                 1.0587,                0.39065,                 0.9828,                0.99284,                0.98847,                0.99438,                0.70219,                 1.0994,                0.37619,                0.97822,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.0466,                 0.3914,                0.96929,                0.99352,                0.98949,                 0.9944,                0.70525,                 1.1138,                0.37858,                0.97735,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.0451,                0.38592,                0.97782,                0.99171,                0.98842,                0.99438,                0.70518,                 1.1341,                0.38311,                0.98116,              0.0002972,              0.0002972,              0.0002972
                     45,                  1.038,                0.38513,                  0.972,                0.98841,                0.99259,                0.99433,                0.70511,                 1.1086,                0.37571,                0.97652,              0.0002576,              0.0002576,              0.0002576
                     46,                  1.037,                 0.3796,                0.97658,                0.99132,                0.98874,                0.99438,                0.70707,                 1.1139,                0.37613,                0.97638,               0.000218,               0.000218,               0.000218
                     47,                 1.0283,                 0.3794,                0.97097,                0.98906,                0.99137,                0.99445,                0.70615,                 1.0983,                 0.3724,                0.97557,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.0215,                0.37686,                0.96688,                0.99012,                0.99062,                0.99445,                0.70983,                 1.1059,                  0.372,                0.97631,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.0162,                0.37562,                0.96592,                0.99029,                0.98836,                0.99445,                0.70997,                 1.0957,                0.36677,                0.97492,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.0192,                0.37044,                0.96963,                0.99117,                0.98949,                0.99444,                0.70991,                 1.0998,                 0.3656,                0.97535,               5.96e-05,               5.96e-05,               5.96e-05
